SYMBOL,BM_1 ,BM_2 ,BM_3,UC_1 ,UC_2 ,UC_3 
EXOSC1,11375.68538,9526.047431,13937.76254,30990.28453,40364.88284,46223.93016
EXOSC10,18210.04679,19054.7191,21183.1336,57923.74837,36626.04347,51893.46017
EXOSC2,39099.19415,66293.5667,75919.23983,128330.9876,109122.5025,141106.0893
EXOSC4,28879.7023,36978.07975,35284.28139,84233.36452,79928.39119,116416.6884
EXOSC6,40425.40176,49248.28722,62421.66935,137642.1541,140716.9269,161314.7803
EXOSC7,30918.9624,17237.28795,49939.0615,68473.70768,62420.32006,94817.21918
EXOSC9,23435.39162,15071.6019,16393.25133,56894.17944,34958.50201,56095.08064
EXT1,6064.020782,7708.500214,4576.193595,25243.39803,11654.04068,18585.21773
EXT2,36600.45848,18287.57171,49866.4689,27290.93774,13327.87817,21084.87064
EXTL2,3721.74463,16133.93021,8664.48799,6322.708998,3197.193438,16956.86906
EZR,169883.9346,321765.5456,373512.9931,388216.7214,387585.0683,365390.513
F13A1,16442.75701,764.7861881,16716.87437,5909.101411,923.8395132,2954.664773
F2,23203.75029,72080.24534,73336.03682,80284.3166,54890.27837,60148.93881
F2R,5335.082769,1694.765705,1565.512532,4483.770024,17450.53154,17726.99445
FABP5,416959.9067,539042.599,482800.3156,2228006.374,1659684.301,2291818.328
FADD,30124.24247,18162.12142,20112.47015,69087.56267,53285.39014,66319.32821
FADS1,2159.329363,1562.073816,4265.260498,6216.651906,32547.8992,36593.98674
FADS2,17147.7023,13277.27416,18239.10539,120699.3492,129652.0743,132217.2984
FAF1,41928.45895,32585.11868,40214.53009,84212.69242,63537.79354,85034.34462
FAF2,139570.9437,90671.80014,96957.76641,290608.973,167694.2212,153842.9052
FAH,123301.4272,95024.52877,140847.0841,479867.7011,200357.9867,270238.6367
FAHD1,22545.16603,15562.65166,29028.97898,60529.59354,16014.87738,11911.71901
FAHD2A,63945.90842,59123.84575,85305.8438,171669.7078,104086.7616,141132.6463
FAM107B,13222.96419,12707.46668,28639.47876,52834.07153,34536.79319,66174.89435
FAM114A1,365661.9107,396709.3106,443413.7549,461074.9241,315177.4851,343631.7619
FAM114A2,2042.732804,9506.237832,4926.207753,11863.35548,9701.828847,5667.784441
FAM120A,137579.7759,108540.0859,142278.4632,211722.9755,177063.433,148510.9667
FAM120B,10227.35036,8940.95444,12777.35081,6757.150309,341192.4541,36000.07189
FAM120C,5776.171881,20434.94903,16409.3469,4983.963313,9159.597194,3137.245526
FAM126A,15223.55413,632.5324251,12945.94147,23538.85563,6940.182816,5315.057306
FAM160A2,11000.66992,4538.308859,6031.508185,32566.98448,8623.111993,4777.681864
FAM160B1,66532.82906,66179.82285,82449.90128,95878.15271,63136.77795,74661.36525
FAM162A,12052.38241,12737.8279,18243.62699,10639.60822,1520.802248,10383.6389
FAM171A1,10410.71331,7758.347764,5814.351305,15803.46031,24074.42725,22667.53055
FAM177A1,1126734.469,1005514.484,1379219.543,3539577.313,3302743.536,4140355.452
FAM207A,26090.27417,43050.42533,50903.89039,96113.14241,110997.7981,141637.9515
FAM3C,58337.34001,51010.44917,80285.6497,121927.1032,120497.0693,108966.6126
FAM50A,18788.2415,36924.09509,34275.19623,135171.7371,104327.0123,88486.59242
FAM91A1,20972.58341,27211.90337,40940.27144,55476.26994,12612.41612,27675.12794
FAM98A,61260.56764,42466.14833,35759.37142,58990.63017,115140.8247,99449.23745
FAM98B,3725.186883,7585.641909,4921.698429,17228.83831,12772.57367,14349.01042
FAP,108377.3308,102903.8962,142908.3516,157252.4743,90203.91451,82540.05085
FAR1,13987.19704,8322.621221,17467.81735,19184.62605,19055.78951,22481.82843
FARSA,86801.82312,124927.1437,123995.5407,141602.4209,114990.5516,180396.0769
FARSB,196649.7495,180942.8196,187546.0078,350289.4966,240529.5927,319936.3029
FAS,1305.347731,1116.848998,3491.778373,6683.283408,510.2166493,8241.346012
FASN,319125.8679,209532.7295,292698.0377,2125300.651,2427550.665,2316706.452
FASTKD2,15665.27733,6687.714141,11738.86237,63714.96654,39996.68633,22767.09484
FBL,447653.8461,507479.7135,515842.0525,889471.7652,709359.3459,832950.6766
FBLIM1,30309.08296,36646.00518,30686.00937,116894.5818,116306.8539,69345.02302
FBLN1,11558.96064,4946.963405,6333.375035,23447.72195,38130.99677,17439.43098
FBLN2,1003.714775,1292.213873,4185.169847,1816.242231,899.8267332,8384.611761
FBN1,10748.1452,32297.71045,25189.52832,70569.07661,72976.01328,67759.78266
FBXL18,19694.59706,21629.76778,26472.32501,46932.72983,29767.16471,41709.59928
FBXO7,51081.7812,26385.47204,48625.81919,122683.957,94194.9277,111652.0874
FBXW11,4913.238445,3910.056535,4496.06013,9389.980591,5647.660489,7764.371103
FBXW2,37462.73428,1425.356509,2314.889695,31215.41555,29376.73907,33526.6149
FCGRT,8071.895294,11243.05046,20149.20567,19450.45568,14939.33996,3670.901939
FCHO2,29744.83023,47537.72397,21336.84227,26842.67647,89908.14412,42056.39865
FCSK,34309.33804,89900.48663,86554.60566,187654.4704,125838.8184,13628.2374
FDFT1,10918.20329,159748.442,4388.263799,34420.85703,25431.70731,37946.3017
FDPS,33354.8744,44285.41609,50660.97974,72048.49373,71065.74709,84214.22341
FDXR,11364.70113,2982.315627,7594.0201,13623.20854,4165.66338,1513.569557
FECH,6196.38788,3010.034865,12171.54629,21183.88937,3156.11396,24077.54305
FEN1,51165.83673,53563.76959,53333.85468,210582.3485,192897.5374,307439.9612
FERMT2,218242.9037,317762.2447,370631.0833,367710.3476,398459.2249,355054.0087
FGA,1925.264377,1672.522669,1105.380881,1726.579625,1096.265681,369.0618835
FGB,74845.57384,2623.879459,102892.1841,142805.6915,2592.384135,116168.3605
FGF2,141260.5579,54980.70073,105330.3105,220986.2568,277333.3642,178025.4915
FH,274098.231,199719.0359,270843.3729,576092.8878,413785.6413,473684.7092
FHL1,115165.1572,419940.8097,405510.5545,146381.3071,141103.1657,101677.9777
FHL2,742874.9704,862418.1397,1412823.202,856822.56,707875.1843,712051.0203
FHL3,50484.20582,61258.14192,90800.22004,113775.5095,131073.5381,129686.1334
FHOD1,9732.694388,5774.241408,13337.94289,34435.77298,20997.51748,31434.26545
FILIP1L,6838.10225,18387.00175,8538.510512,22109.6423,25603.91246,18656.10993
FIP1L1,55130.97808,85709.94161,56347.02841,189504.1294,146897.3729,215369.3092
FIS1,131834.1423,113284.8492,139924.1574,309647.1397,205684.8465,245555.6507
FKBP10,3436111.492,5221560.4,4381975.683,9488254.331,5173706.067,8341436.74
FKBP11,235197.0244,184228.0787,225751.5454,280440.4421,140721.1289,180757.1431
FKBP14,14003.27595,14189.74264,5707.686485,30328.46785,18788.04677,32162.75289
FKBP1A,138842.9736,151906.4685,248953.152,403958.2699,502645.7866,545025.8758
FKBP2,341894.7905,400395.1322,469118.6267,586064.1056,372587.2258,524620.6551
FKBP3,272015.65,349049.0459,458610.6785,852734.4697,811681.5822,1082095.402
FKBP4,82553.87414,151527.0518,141719.9452,368261.1941,430198.2657,417606.8594
FKBP7,47386.30564,12341.84191,56983.29364,74637.29162,43121.81301,54506.12934
FKBP8,199019.2797,81168.9517,170880.391,296417.6582,207761.384,255509.9588
FKBP9,393757.8953,388557.8351,507200.6821,346092.0349,388735.1709,504385.4185
FKRP,2161.940436,5198.455978,11670.39202,17172.09729,34410.23364,23310.68631
FLAD1,11059.19168,8845.296567,10756.75629,12504.00146,11367.26428,11943.28596
FLG,16732.35307,4030.069981,21612.70215,2232.31053,2619.725013,4413.698969
FLII,239071.8716,256737.3725,325079.4934,581924.5989,511363.3139,526223.8078
FLNA,2457465.358,2510173.207,3838303.269,7367479.813,6807184.778,7468759.227
FLNB,1427490.196,1785436.079,2430928.566,5751814.816,3603104.678,4601057.354
FLNC,1291673.275,938712.9652,1141945.375,3752866.537,2735299.702,2583952.642
FLOT1,79772.00536,67432.36531,123021.7318,249529.8234,204346.1705,219885.5429
FLOT2,104244.978,88561.67132,160210.789,287081.1531,225260.1453,241011.1784
FLT1,12877.34026,2753.389798,5804.191956,74773.16082,48164.45951,45042.30547
FLYWCH2,1229.670755,678.0858641,2993.25965,6922.873686,3815.360885,9678.028566
FN1,285090.2449,222579.4063,234811.2638,333240.8476,408400.2752,208185.8745
FNBP1L,4675.961927,3825.695968,4268.074432,8227.592925,7526.963389,12540.71393
FNBP4,10018.53132,7228.848134,14020.38081,24203.43767,18078.72221,32770.80156
FNDC3A,18974.29005,16923.51771,16025.84921,56371.18782,54782.49595,49430.52399
FNDC3B,101057.4199,104963.2417,110082.6596,353159.5018,256067.9674,247985.2286
FNTA,16399.61567,9981.616748,35119.73628,23435.85582,25152.04108,29938.75243
FNTB,3126.381608,16935.13389,22576.65081,21547.49981,16198.33703,1492.718578
FOCAD,38690.51419,12212.66911,14974.20105,77556.69029,26819.21843,76322.30494
FOXK1,18285.98953,18226.80944,20911.35573,48662.43598,40382.17825,67184.60988
FRMD6,103904.6115,51230.03692,155349.6002,98227.29102,83983.67385,64477.63565
FRY,21706.48058,23007.94247,28730.11445,25293.06432,2429.372658,27992.50343
FRYL,1811.66857,5653.35141,11338.36338,8562.119718,16508.41207,27388.07093
FSCN1,641244.7187,635155.3969,945626.2855,3887387.53,2944025.058,3347195.986
FSTL1,151199.8924,139300.2312,198828.8871,288604.1075,300867.5687,268110.2028
FTH1,18452.75313,31102.57957,30527.3648,27996.06957,48839.71058,52067.19369
FTL,16908.72416,26408.54366,20624.33041,28997.9171,29501.09029,46100.47883
FTO,31506.42515,30229.02953,30663.02131,20187.19672,19578.1707,10067.16163
FTSJ1,23055.10131,22285.75511,1154.888122,38074.55761,33827.0729,34988.82924
FTSJ3,39302.59857,41824.15868,47827.49307,138612.0081,107860.0896,119609.6493
FUBP1,321809.654,321781.3761,388350.078,752535.8181,881153.2881,896315.3067
FUBP3,112617.0535,115367.716,150522.0369,393441.3098,174458.4524,420008.193
FUCA2,11385.28432,10617.09636,16554.33765,12289.52652,11004.93915,6347.262019
FUS,103258.0377,137766.0512,175600.1826,849605.4121,802137.8353,1160118.612
FXN,2420.272693,28252.33786,32862.21878,40800.65967,34435.88778,40625.53423
FXR1,78024.43379,74762.05623,73357.5664,103104.6689,132996.5582,150460.1886
FXR2,7691.831059,11685.62328,22181.56504,5519.76842,32293.40242,34584.34327
FYCO1,2640.518918,3098.128727,3101.982353,1898.066204,6368.050063,4674.861632
FZD1,4929.99647,4595.509135,37561.21128,4063.970981,49070.97001,63433.11842
FZD7,5276.873425,3109.975422,5847.334935,32076.07209,6145.249628,5105.467209
G3BP1,362612.2319,330892.8916,351823.4095,960133.1494,718753.1191,841464.0113
G3BP2,47104.69644,74485.1292,74790.05856,167723.5229,185088.1555,204614.9471
G6PD,481309.2883,525694.7268,590939.1845,1149102.108,793218.9995,1048054.408
GAA,145368.6765,188217.632,250279.1881,222737.4007,174373.6357,215979.8279
GABARAPL2,21590.91042,23883.85056,25632.30547,87826.57377,76425.0563,83553.28582
GABPA,832.6576465,5834.913104,5126.458647,20387.00707,20454.24931,6860.252366
GADD45GIP1,2377.992342,13344.83749,5304.22845,31324.99328,16314.51598,11838.56664
GAK,128845.1814,69503.02402,56930.1577,124129.8664,201033.3027,250960.3326
GALE,38499.95031,56481.1138,69958.56226,87932.87578,53849.46422,70537.65802
GALK1,63284.6821,56545.31147,81051.1823,45237.369,48323.73923,52543.44328
GALM,12280.27142,17055.4296,40377.90182,30439.39832,37386.20951,36397.81885
GALNT1,76819.05624,81446.73193,218743.3882,55140.90633,61630.75908,42955.81354
