SYMBOL,BME01 ,BME02,BMe6,UMe7 ,UMe8,UMe9 
FAT4,8119.331801,8055.431846,8026.833448,19296.00278,15751.50649,20940.44372
FBLIM1,4917.508006,4284.038163,727.0595207,44083.33327,36369.36492,32096.69857
FBLN1,482615.5873,583520.6988,825238.0427,431165.2965,708337.1732,378842.6168
FBLN2,33881.16455,21178.60482,21354.19433,35426.02653,77070.5558,47682.79079
FBN1,13059.73478,6000.49297,37167.13273,38828.54903,56797.30354,32235.86276
FBXW11,1042.455114,2945.814878,5924.867195,18867.84116,9444.271329,779.4096591
FCSK,5790.536885,6506.767315,7347.966725,38512.83663,44615.05796,38764.85223
FDPS,3478.443885,14657.81451,2985.967403,53460.95581,40181.57398,32057.42709
FERMT2,144638.6638,211143.618,234838.5203,1414311.516,1443267.717,1576196.256
FERMT3,449317.6517,417712.298,182327.0436,355985.5603,300577.3902,177576.3586
FFAR4,7937.08815,10400.03846,5594.660063,1792.285831,37986.03546,4385.395418
FGA,14557.54906,80725.77851,21112.78515,15543.52855,29249.41547,60615.75168
FGB,175197.4763,327456.4466,214345.0824,161282.5188,255464.5965,298697.4737
FGG,56108.20971,152079.7126,96829.41263,41431.95859,58529.80236,132847.0418
FH,9141.262786,15649.71886,7659.549729,24188.42611,22119.71794,38191.16781
FHL1,3412.168418,4397.802728,8885.049531,9279.674667,16830.92297,14480.49379
FHL2,71663.85324,93897.91953,50371.62583,316981.0316,222528.1719,391811.8663
FHL3,10567.25943,37442.72471,23272.05404,91257.09544,67220.89863,150990.225
FKBP10,40713.37362,50836.69507,51430.95137,296364.622,227738.0085,177068.4968
FKBP1A,24684.64822,17252.2407,34897.51608,73068.11632,70371.89174,62830.3088
FKBP4,9958.051303,5681.097985,12955.57199,84392.68254,78847.95492,68141.14311
FLII,28845.15937,18561.28682,26285.47066,91299.1532,61676.62795,73694.5317
FLNA,296737.0647,311449.6727,334533.6847,1350501.681,536342.4495,1007971.16
FLNB,94209.73845,48928.72904,115929.6386,620639.2927,555703.4487,523925.1709
FLNC,84975.84685,65618.50424,212743.5427,429158.2235,401058.8349,260639.3312
FLOT1,531910.5919,254483.7874,188280.9894,495293.7117,369546.8528,235857.0005
FLOT2,529991.0986,325436.0723,118477.8658,240810.6654,176060.5899,161182.2403
FLT1,20584.28531,84837.82119,28615.4013,462596.3796,472581.7386,267392.2613
FMNL2,1352.329356,30312.37521,1024.781094,30193.00088,17654.4028,22816.00139
FMNL3,18972.36956,24977.14606,33425.62926,100635.2864,73216.4457,107751.4078
FN1,17195032.57,12903925.01,105946186.3,33465478.54,16118998.02,14552588.43
FNBP1,3128.217937,4432.338137,33503.82195,10601.52918,9879.513768,3374.844419
FNBP1L,875.7927788,3461.053727,1136.868081,2932.566557,2771.468019,5585.923838
FRMD6,66342.55625,60190.04261,57400.36582,186627.3868,159333.9688,132418.2115
FRS2,3025.403453,25612.00035,86433.48718,3524.644665,11358.64965,27424.11678
FRYL,26220.71234,23235.21282,136597.841,126789.3659,66011.3416,66492.15977
FSCN1,64876.569,77433.33312,148699.6456,916888.896,765586.7571,820497.9971
FSTL1,25189.54207,18370.00869,47370.58111,27445.37784,537213.8242,48113.37366
FTH1,65032.02584,30484.87177,62463.66505,59089.77114,43531.53613,33919.9396
FTL,17299.54302,3465.607633,122735.1701,544130.9631,344181.4186,217124.6657
FZD1,1335.037312,794.1609544,8375.338218,8384.359875,7083.95494,9611.958326
FZD2,4746.635813,4709.364631,9688.877644,15378.61325,5323.065416,10956.25879
FZD6,1985.818578,20547.02572,6701.393906,29033.22808,8070.396728,17491.84659
FZD7,2994.938225,3795.743401,18480.07255,15003.78531,7205.554596,8042.172541
G3BP1,17669.36662,9238.252836,14536.90381,86361.40035,53536.16309,62501.69125
G6PD,125349.2614,92391.58386,195606.0198,603388.0512,913237.2905,637572.1454
GABARAPL2,40982.5766,79774.14654,60166.12479,78999.0549,52692.49971,51368.54858
GAK,6821.347548,4085.330749,6406.868146,31570.18983,19221.1768,18024.17506
GALE,7465.421969,1308.146486,10773.31119,25909.40795,29641.58976,18673.94529
GALK1,189051.5465,124022.9455,91450.66129,151216.8737,153167.8505,137023.6437
GALNT1,785.3929508,2594.202868,1906.726025,3274.389148,6976.485442,5012.775283
GALNT2,5963.089839,5870.991828,16192.92948,17269.25209,48858.3686,38642.33759
GANAB,79601.20635,65139.4856,16323.22461,100495.5352,86044.52776,92903.42889
GAP43,2706.868477,5792.424353,3861.058109,8433.984572,3026.7706,31129.03212
GAPDH,1800298.675,1635904.497,907641.6743,4610487.71,5134064.396,2322054.8
GARS1,12653.53128,11198.95153,14566.89703,105613.4072,102472.3926,95004.22654
GART,11250.12657,14473.6366,33296.09919,48224.76958,47569.39446,41304.29681
